feature,coefficient
tp : ,0.21541296347474023
to be,0.2153947942130678
ong,0.21533682453982722
tp :,0.2152727956413166
ica,0.214951592768199
you want,0.21441292803909803
try ,0.21373225693974895
 $ ,0.2131353240551607
ain,0.2131038704550918
0 pi,0.21244979264905967
really,0.2120699576246425
tor,0.21146131086510203
ta,0.21141639377266014
le .,0.21136665651238248
n b,0.21134840434859187
for more,0.21133388180882692
bye,0.21109648416459664
ead t,0.20949476859649532
op ,0.2094472462407517
movies,0.20931112625758583
 in 1,0.20906720704210444
to service,0.20893265030925712
 loa,0.2089213958434861
photoshop,0.20878626063597894
than,0.20798540994761744
sir,0.20775430509381573
loading,0.20773821587800986
the attached,0.2076492187142791
move ,0.20727017811265258
he,0.2070931257264487
 o ,0.20671011865988986
move,0.20643294913199278
medi,0.20628856768250564
e and,0.20620467606950615
 rem,0.2061592267643834
ain ,0.20611506134121607
e . ,0.20599299622846642
 . n,0.20559170166695667
04 ,0.2055532520867144
gra,0.2054993793317562
p : ,0.2049706231638244
/ / ,0.20491299161947557
 / / ,0.20491299161947557
 / /,0.20491299161947557
nd _ ,0.20487685087825686
nd _,0.20487685087825686
p :,0.20483966932671993
/ /,0.2046442891777947
sp,0.20448768847844018
mus,0.20403787815985777
omp,0.20383066495357216
un ,0.20371682638491237
normally,0.203714107497541
reliable,0.20367703376017982
quick,0.2034882106666776
cheap,0.20344462780738562
industry,0.2034158982459747
opt,0.20268288919551414
bod,0.20249304132049117
comp,0.2022090626998349
mone,0.20149274644510992
w r,0.20132571016173492
body,0.20120758531595254
society,0.20118822391473778
well,0.20071507686261875
 ci,0.20060011467417418
com thank,0.20030079595838216
5 % ,0.20004426792885727
5 %,0.20004426792885727
ck he,0.1998339406980823
d _ ,0.19903215965969356
country,0.19901711414170695
was,0.19899313591386417
ore,0.1988716165772645
mg,0.1985096525711725
read ,0.19843534563479073
_,0.19825704770565522
shop,0.197925742041889
d _,0.19780359376137893
needed,0.19746382675250573
 sl,0.19701814135944867
r a,0.19697676846297216
tak,0.1967843780489827
phone,0.196346714389907
"s , o",0.19633544597617233
. n,0.1963032742413642
efi,0.19604283026889882
orm ,0.1958757577749155
oney,0.19576191777796154
search,0.19548381736735979
special,0.1953408309120985
pleasure,0.1952591333251199
small,0.19498724339720996
of this,0.19483433600144937
gr,0.19466639443831335
hin,0.19444512341754477
please refer,0.19428197577728953
reach,0.1942766704280902
rd ,0.1942575330747825
mao,0.1941890444039485
 min,0.1940640494563172
adult,0.1940160162349651
ful,0.19373137648332062
lottery,0.1936023675024427
ad ,0.19358675366575462
bit,0.19350430457925005
dr,0.1934464693849125
nk ,0.1932286971145158
ves,0.1931891307957841
r m,0.19308536610450605
 read,0.19301158119955153
pil,0.19287890621930096
ody,0.19279936543152543
form ,0.19271504140803006
6 :,0.19248163414283914
6 : ,0.19248163414283914
boo,0.19231418313443477
taken off,0.19201454923629308
ace ,0.19186681142448217
gen,0.1916477250782212
more,0.19140292750425636
t ! ,0.1911367019373567
form,0.19098417417822303
abl,0.19095951860689922
de,0.19081274106979818
this link,0.19081165862791122
: /,0.19054010939476743
: / ,0.19054010939476743
 : / ,0.19054010939476743
 : /,0.19054010939476743
48,0.19047766357468543
medic,0.19039802723463736
a - ,0.19028236021916875
 sp,0.19026235349673393
hor,0.1901307645121067
 vl,0.1899658952397914
our,0.18982677863547895
rit,0.18979891675580737
a -,0.18967864345924948
vi,0.1896515210025065
adv,0.18964710969071283
 bl,0.18944799102387958
rg ,0.18934254726258104
lo ,0.18931843738525647
don,0.18925276998210738
able,0.1891159416229467
off,0.1890196216038139
interested,0.18900939963586325
ca ,0.18882768201074995
: / /,0.1886936280330751
 remo,0.18843534090969216
self,0.18839504743472738
gag,0.1881374706454717
future,0.18812337303867335
rate,0.1877307222691152
 ht,0.18754923202132556
arg,0.1871454970470885
and s,0.18685228361721662
red,0.18676766791182958
hi,0.18669900424482172
spam,0.1866803623424263
ick h,0.1866270854928216
 mone,0.186221711904408
r e,0.18603312935558639
bad,0.1860180423345939
company,0.18594158590855947
e ca,0.18589586078931317
doctor,0.18541070754259908
try,0.18540007327907243
ake,0.18533264138752029
gir,0.18527885897945012
t !,0.18495775345747473
dating,0.18464971564885554
money,0.18454592576165327
dis,0.18443498686141419
self ,0.1843436050842785
you,0.18417563851125215
"d ,",0.18357979701806104
ile ,0.18352065121595065
 ba,0.1833850026529955
 fu,0.18326705082814337
nly ,0.18305959646100495
come to,0.1829994390448081
 adv,0.18279432567347384
channels,0.18277627579533248
rma,0.18273811563345715
80,0.18237895133809354
lt ,0.18237284915349292
ous,0.18236270142600824
 mr,0.18220765599669972
rea,0.1818490707002879
 . ht,0.18179640718805185
your own,0.18178142622584284
fedex,0.18173895883890892
safe,0.18171875507349702
warning,0.18159046809756102
. ht,0.18153529571859947
remove me,0.1813992155334301
case,0.18132443534945258
mac,0.1810183601891924
now,0.18094972177206417
self,0.1809388021977307
nly,0.18089477533958626
all questions,0.18084459165468406
 g ,0.18077208479706033
oney ,0.1806181997170805
 ro,0.18058718943809182
world,0.18055340250636984
orld,0.18055340250636984
worl,0.18035299544598532
f o,0.18034471635649674
pt ,0.18031584507277187
make a,0.18022329255467331
rld,0.18015346162174545
loo,0.17997382354925523
p p,0.179362249745365
"o ,",0.17929617350697746
"o , ",0.17929617350697746
orm,0.1791002170158961
" , n",0.1790220296819335
my name,0.17891439857400607
sh ,0.17891056989557425
to avoid,0.1788896268935884
 mor,0.17880088162704083
downloads,0.1787749216141852
 more,0.17861395986672454
"d , ",0.17840276530637736
rem,0.1782852098776485
htt,0.1782208363715961
news,0.17808400861069817
oft,0.1778951390750064
. 00,0.17780876313882818
 . 00,0.17780876313882818
ex ,0.1770675872503322
beauty,0.176924480224395
 gir,0.17678040324201347
children,0.17666066626076757
so long,0.17624372250241221
ra ,0.17613185888763275
 ? ,0.1761198937358062
elf ,0.17605977932583486
 36 ,0.17589545403753584
prize,0.17581533001960395
what to,0.17577153911290225
r 3,0.1757411689556038
3 5,0.17572560018656555
http,0.1753887565728564
 http,0.17520323311488423
ttp,0.1751932316307882
want a,0.17516143471473516
cocks,0.17510924201161798
 htt,0.1751042918998144
 il,0.175038233275483
watch,0.17498856537121152
ur ,0.17497670854840852
 di,0.17463397294129698
y th,0.17452874446799854
go here,0.17448121547069545
orl,0.17431053385873316
truth,0.17422257403216704
 li,0.17420919011287492
river,0.17407690106232898
 . - ,0.17390692834862742
 . -,0.17390692834862742
this report,0.17378633000703245
3 d,0.1735835037574603
only ,0.17323910123561642
man ,0.1730875166512711
thousands,0.17305645410109738
fact,0.17299148325539698
ite ,0.17290239295163756
. - ,0.1726464962653076
for you,0.17243105578755374
free of,0.17225107523152453
ver ,0.17222163703105126
of me,0.17205194224937614
more ,0.17182549024130905
sum,0.17179925930878687
s h,0.17177551194728283
what,0.17156666524263708
only,0.17153088292438834
spe,0.17149775422240315
 only,0.17123484796461044
tis,0.17123185141587674
again i,0.17111234072596787
absolutely,0.17110809232190888
low,0.17086841357582574
finance,0.17076285441026448
. -,0.1704799835341412
easy,0.17045471595454215
fund,0.17038251018021006
ane,0.1700890773743428
 hi,0.17002361335023486
ra,0.16995930490053945
der,0.1692856357302055
ost,0.16919339348519033
re .,0.1691284684630399
 v ,0.16912570071579636
lio,0.16911956700774108
wha,0.16910299041338353
 f ,0.16890668555593863
good day,0.16881080206530255
care,0.16865834520815426
sources said,0.1686443900973916
cartoons,0.1686295762354237
ous ,0.16854765530599305
anta,0.16842328118517189
elf,0.16834599391390212
", n",0.1681773671260622
"is , ",0.1681717065357528
"is ,",0.1681717065357528
ats,0.16800075067927217
attached file,0.1679801141178902
red ,0.16778306650445174
partial,0.16769172824784928
life ,0.16767835667251083
133,0.16755310629146994
en . ,0.16740252393950392
 ko,0.16718255429599221
"ey , ",0.1671814797131594
"ey ,",0.1671814797131594
har,0.16713343878905498
pharmacy,0.1669519274716808
fact,0.1669454016293729
send a,0.16668455543627259
windows xp,0.16660368522728847
gra ,0.16654761059876633
hell,0.16647955090824845
hop,0.166442264739406
hair,0.1663288057813827
load,0.16623268730017676
 b ,0.1661201905295713
roved,0.16590090028837426
varou,0.16588206013451468
looki,0.16582713652590275
 wa,0.1657092533464606
iit demokritos,0.16557046878421888
iit,0.16557046878421888
demokritos,0.16557046878421888
tried,0.16552545259173332
ut,0.16540986375990613
 95 ,0.16521818993707726
tos,0.16514893623706692
shall,0.16502999319013026
ge is,0.1649647732563593
you hear,0.16470086914444848
die,0.16465925284794455
cam,0.1645277743110282
information if,0.16443665319103265
ds ,0.16424309481836719
wowgao,0.16360094487271554
 worl,0.16316992902616678
ur,0.1630589463315993
charge,0.1628394029093436
here for,0.16282633346080794
ant,0.16279979634160022
ses a,0.16278670733944522
mortgage,0.16276877571278897
lth,0.1627356455034778
a 7,0.1627015221342231
events,0.16259305870787874
size of,0.16231625468557356
rse,0.16221326592478047
ble,0.1619347654367581
got,0.16176197419223087
2 r,0.1617192219458553
sec,0.16170854682664543
lls ,0.1616477573363863
often,0.1615059309932086
e fu,0.16140798165790904
 dr,0.16139674795904832
how to,0.1613370400446166
fight,0.16120019791861753
 / ,0.16108646853239528
jordan,0.16104198304201564
 95,0.16067654580900959
three,0.1606381017468545
car,0.1605828227510501
cause i,0.16048521514860487
 medi,0.1604227614142734
ur m,0.1602462782501234
the public,0.1602237332002198
hi again,0.16016107666963475
aper,0.1600619978514604
change and,0.15992393138029656
penis,0.15979242394374937
eri,0.15978499269238103
advantage of,0.15970956955845253
gage,0.15960951753002553
demokritos gr,0.15956744073528978
affordable,0.15948835854021046
oo,0.15940986179830616
pen,0.1594094069021442
patients,0.15935891390300033
of people,0.15926146249533282
shu,0.15920018194609584
 _ ,0.15913192383991273
open to,0.1590996195795965
ur mo,0.15898621723820225
visit us,0.15898314478383063
avoid,0.15879418079725421
live,0.1587662502337319
the link,0.15849934747054154
wysak,0.15849590501635136
 ge,0.1584168666391122
the sun,0.1583361319102472
mor,0.1580753485844384
like,0.15797574444741694
auction,0.157900590621707
rn ,0.15789734861666868
investment,0.1577262978494602
eop,0.15767298848274386
hosting,0.15763269705953611
rsel,0.15742245603318245
e rea,0.15735756761697856
additional,0.15727082921665075
tree,0.15715836249147166
extra,0.15704971866774206
tab,0.1570157908029872
fac,0.1568528607847521
take,0.15681601301839507
naked,0.15680201241777642
 al,0.15650733941242834
dic,0.1563386672600684
body,0.15628588397575066
king,0.15625702688008708
 low,0.15625383651310715
and your,0.15621606331217608
refer,0.1561640867130568
rnati,0.15615069047323354
ople ,0.1561494932903882
 loo,0.1559557336745144
your money,0.15591407327904183
lls,0.1558157614563423
48 hours,0.15567429034937838
t ?,0.15535650846214605
lines of,0.15534020349685013
product,0.15532002226244437
onl,0.155213872053064
your information,0.15498675117088626
far,0.15485086672265952
ne p,0.15481958133015952
05 ,0.15478819817408546
rx,0.15451053780870325
 gen,0.15447115945211307
fo ,0.15441121445613662
suite,0.1542588225532242
i was,0.15424392387783803
 er,0.1542048026274207
talk to,0.1541581934996522
dva,0.15410711016573522
information below,0.15408294575387335
li ,0.1540600158909044
computron,0.1539766523331696
ait,0.15389494343081506
customer support,0.15381142811450021
wait,0.15379299158509246
netherlands,0.15378248831665803
man,0.15370600290607017
pil,0.1537015999305179
d s,0.15365331171389213
te ,0.15358840056530818
very,0.15348033441211575
de ,0.1534310463814942
tai,0.15340325872624266
dec,0.15339807901560512
our m,0.15338873523235866
te s,0.15321081986537405
able ,0.15317642072582505
 rol,0.15311423854020176
bes,0.15306794044656263
ches,0.15304222223718653
pain,0.1530084865068402
process is,0.15300153985766565
esc,0.15295781245526638
minutes,0.15292654347317822
o b,0.1528821104477761
_ alt,0.15269052228832194
 emai,0.1526632151373741
rself,0.15262368722138844
alit,0.15262322008066537
looking statements,0.1525909021503807
 ful,0.1525898338566566
 p ,0.15257032107332597
uen,0.15242908961216428
 ir,0.15233244668261298
05,0.1522927226881421
 ema,0.15226116157810965
talk,0.1522443749474839
site ,0.15222857771596174
shop ,0.15201130675303323
w,0.15196354098309853
pain,0.15191364271778526
300,0.15184441191682813
inform,0.15176023831743213
g f,0.15172311550840803
to update,0.1516297440793279
what ,0.1515813188487622
 cia,0.15157967693073449
the size,0.1515046862899304
rmo,0.15144039373339588
re . ,0.15142400758373833
sof,0.15141156160657607
lowest,0.15136989618919983
s e,0.15134919089504642
ookin,0.1513200443865919
eople,0.15131433325450164
peopl,0.15131433325450164
eopl,0.15131433325450164
peop,0.15131433325450164
tiona,0.15121702338837467
e m,0.15118780605638438
ooki,0.1509745577528828
ejaculation,0.15095719183721212
gen,0.15095145236436805
ople,0.15081428525585955
like that,0.15079845156934268
next of,0.15078233994344725
of kin,0.15078233994344725
dio,0.15077655685026858
lon,0.15069295269010916
we are,0.1506479783839132
fooled,0.15046491629851036
e of ,0.1503464931577955
peo,0.1503356342429439
ompan,0.15032918475676207
ional,0.1501534218824584
00 90,0.15010732756894718
cr,0.1499866464712203
s of,0.14988928902049656
mpan,0.14988122313708244
good,0.14979835543795672
 dis,0.1497958568912902
fear,0.14963351227482094
da,0.1496267355721354
studies,0.1494388304841255
to read,0.14942076647491334
stop,0.1493354497989918
all,0.14930611046327202
3 move,0.14930319267104952
tne,0.14925022663835388
opl,0.14919295556136428
ied ,0.14916537268993976
kin,0.14914082158041395
ng f,0.14911465742639227
paper,0.14898842981966354
pan,0.14895208876153057
ernat,0.14882721772503987
canada,0.14858050263201816
oi,0.14854413516011267
sluts,0.14853741540285487
hundreds,0.1484284363916833
thousands of,0.14840828614779128
pape,0.14831635215832006
rnat,0.14809905111654706
of ,0.14809568537151063
ing f,0.14805538662723752
ob,0.14801658560829756
 / t,0.14801179969923614
 sec,0.14790696826156235
email,0.14790174112679277
po box,0.1478401275563445
r onl,0.14775138358549395
e of,0.1477042333885397
pills,0.14770391623341622
purchases,0.14756231344872442
differ,0.14738910476408731
ble ,0.14709723393936866
failed,0.1469367918650713
gold,0.14688140834064103
pill,0.14672330083780113
a fortune,0.14651776762596444
a c,0.1465167979469782
r in,0.14651439688124726
y t,0.1464964051005845
you like,0.14647840915321944
here,0.14642976841037122
find,0.14636846521738875
in bed,0.1463322078310098
soft,0.1460941170150496
beyond,0.1460809980185314
ied,0.14607329243070474
mind,0.14606796206404118
ze ,0.14605098584775336
forward looking,0.14604985704244705
 - 0,0.1460103821403171
nigeria,0.1459283928440518
 fa,0.14586115821421072
 sm,0.1457628294693452
straight,0.14575975659794688
nds ,0.1457377084145161
get a,0.14569365993275069
ds o,0.14567509688921867
an advertisement,0.14564190826151768
- 0,0.1456352808289481
not,0.1454598808267212
obile,0.1452787697621582
hun,0.14513599495297125
aerofoam,0.14506470931414128
you don,0.1450574086029028
vest,0.14501193083082392
es,0.14498952296999662
yourself from,0.1449106070840963
90 pi,0.14480422875908794
pi lls,0.14480422875908794
f f,0.1447233880013298
/ t,0.14466281814695336
database,0.14461190081088907
 sex,0.14458469054515605
beautiful,0.14455523529261605
lex,0.14455087254657634
huge,0.14451272600406023
its,0.14451213359233758
5,0.14450196119191552
vant,0.14446089195299364
 comp,0.14421207165636082
less,0.14418655387078305
son,0.14413711834241394
nis,0.14412106638378966
ey ,0.14403743172293149
 now,0.1440112498584583
bile,0.14395297465983684
prove,0.14385527620097532
ple ,0.14383954692201814
science,0.14368425609623797
read,0.14352746418378337
t ch,0.1435262848995294
belize,0.14348858892396413
mistake,0.14338467583069334
aut,0.14335951722614615
http www,0.1432930140170837
spa,0.1432352580126122
t no,0.14323072335296114
one ,0.14307761016443013
 html,0.14298413011210023
ise,0.14288739019337024
oved ,0.1427403431584523
pi,0.1427087857384966
do,0.14269467939010522
young,0.14268256175039792
 36,0.14258411021164796
paradise,0.14251053675871386
lar,0.14250818028998008
ium ,0.14232714615629957
u . ,0.142246156495257
xanax,0.14216543380284208
here or,0.14213813337955145
have the,0.14201873579257687
oad,0.1418802881227815
my father,0.14185130421973569
inform you,0.14176794095481957
emai,0.14159572083001018
 bar,0.1414247671049964
to be,0.1413059005912711
o : ,0.14123877352997774
pal,0.1411951300160603
o :,0.1411864026770182
inch,0.14109646466495784
est ,0.1410673910130454
3 3,0.14097174839212517
is no,0.140955356209506
credit,0.14093969420989164
inves,0.14091862102152158
nves,0.14091862102152158
nvest,0.14091862102152158
sleeping,0.14091414401315644
 ca,0.14082188577920693
tain,0.14076225952514157
lls,0.14075806754228096
stocks,0.14071094823566574
36 ,0.14069476442485648
" , o",0.14068951296554041
would you,0.14066274510187443
blood,0.1406618210909278
 ! t,0.14066114905045987
secu,0.14060899974808194
urg,0.14031282062632222
ard ,0.1402829879909544
you could,0.14026504317170096
 ll,0.14026257267561312
ave,0.14022993071739126
 spa,0.1401723824299836
mailing,0.14017007723158295
ium,0.140163242649149
taking,0.14013421693407377
strong,0.14006229245295654
ts ,0.13986544343137366
200,0.13977970327409964
oved,0.13966102934128113
nfo ,0.13965313073519905
heard,0.13963456676315178
 in ,0.13950479390850734
vegas nv,0.13947941113009665
ed h,0.1394521252479727
email_count,0.13943997089135463
 60 ,0.13942933175993188
off,0.13936223371240464
ex,0.13931171958138344
inve,0.1393032688811822
eric,0.13927756722974552
ife,0.13908727658126363
o be,0.13904496596268184
info ,0.13904159809729394
rove,0.13900772216122886
 05,0.13900102254296032
laser,0.13891467711166997
 - c,0.13874541665852927
immediate,0.13874387795355084
s the,0.13872834453273875
 look,0.13869924064627628
visit,0.13863450645329073
est r,0.1384703822872003
 lif,0.13845733650564332
sport,0.13844629515033202
100,0.1383406987491406
 sh,0.13831070921263716
 ev,0.1382601662073734
ize,0.13824248221084948
rap,0.13817939846214192
oking,0.1381655817243926
hundreds of,0.13815937608636045
is l,0.1381504429805472
professional,0.1380361033514038
inf,0.1380047630688671
bed,0.13797420721639128
ality,0.1378054405791708
you do,0.13766023503690974
own home,0.13764645798391323
ph ,0.1375781838851081
st ,0.13751197122488298
age i,0.13739951276776774
hate,0.1373825864037819
$ 1 ,0.13731578228682984
"e , s",0.13728516634043011
partid,0.13728414132230599
 spe,0.13727396658108415
over,0.13723288825284488
 . p,0.1372312973784678
softwares,0.13718718678048053
ase r,0.13718291180901196
 . re,0.1371578634439557
tracking,0.13714297908341297
r on,0.13710374080581444
hers,0.1369780686382959
ong ,0.1369485051204436
healt,0.13693130577077245
the fight,0.13683632879636923
pre approved,0.13678497086180258
ema,0.13676015330276944
male,0.13668967307967606
s of ,0.1366352567736788
pha,0.13658312740233527
men,0.13640826379074453
t p,0.13635431589335548
sex,0.1362614227203455
r mo,0.13622932851109207
once and,0.136202984167728
 inve,0.13617744208440116
look,0.135971757892466
 vi,0.13589845358180835
ient,0.13588649825392582
follow the,0.1358054415677373
sex,0.1357799086639663
captain,0.1357658054155813
like you,0.13560727385053564
 a ,0.13558242081882024
 us ,0.13551052338267583
future mailings,0.13541105219700839
 ) t,0.13540501936976046
y,0.13538088836192652
girlfriend,0.13532060088753828
alth,0.1351924202013386
nev,0.13517444469536996
wet,0.13511324647989997
her,0.1351083105619102
u d,0.1350899836685007
santa monica,0.1350320983750233
okin,0.13502409775684018
ish,0.13494321939640627
sperm,0.13493277261654715
more information,0.1349151282877546
take ,0.13489527479268737
 $ 1 ,0.13487231385949
she,0.13479488684462562
unsub,0.13478559890231429
and of,0.13474282167056362
 . in,0.13473094792546755
find someone,0.13469519948712666
deposit,0.13466605814950128
 2005,0.13465630014658203
ever ,0.13465609672249326
sel,0.13462231037245156
bsp ,0.13460084230241876
nbsp ,0.13460084230241876
here and,0.1345161363188073
intel,0.13448319648681145
you d,0.13445369063902365
r so,0.13441304820964675
95 ,0.13436553614153818
ou d,0.13431750245485732
ity ,0.13428455144553378
grow,0.13417937006149122
never,0.13417447913645714
te,0.13416879023602749
paypal,0.13416186982490824
begun,0.1341108290603463
nt a,0.1339026645281897
m going,0.1337290832656401
 life,0.13369227792104282
saw,0.1336874624725954
us today,0.1336837908420958
 . no,0.13356539257252562
pt,0.1334566377847753
u s,0.13339190988506328
re f,0.13332793158927106
oki,0.1332431619307232
 ban,0.1332154394804771
omen,0.13318575809611002
ich,0.13312643508863167
ito,0.13312568221442878
hour,0.13309956283450491
ind,0.13308123094853705
wat,0.13304292322524386
first and,0.1329729136806166
ook,0.13292406212919544
be taken,0.13282821493665545
olo,0.1328136301158261
al pr,0.13277271413937028
", o",0.13270044873151957
316,0.13267348115649408
! t,0.13264795206137192
ere ,0.13254641394679217
ve yo,0.13254385838850744
pap,0.1325182339425891
a p,0.1324229017637433
 wat,0.13235874402918638
generic,0.13233132129196107
gards,0.13230469812527235
. re,0.1322943257313964
learn to,0.13227261994713949
t to,0.13222704945186078
ecur,0.1322141003183227
